"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","Benwell and Scotswood","E05001089","Total",5426,9,608,1924,2506,279,100
"2011","Blakelaw","E05001090","Total",4763,6,352,1425,2467,354,159
"2011","Byker","E05001091","Total",5835,18,1241,2098,2209,226,43
"2011","Castle","E05001092","Total",4260,14,233,1075,2216,569,153
"2011","Dene","E05001093","Total",3885,5,126,798,1891,900,165
"2011","Denton","E05001094","Total",4574,13,366,1156,2669,287,83
"2011","East Gosforth","E05001095","Total",4375,2,341,1263,1541,765,463
"2011","Elswick","E05001096","Total",5116,20,691,2240,1633,324,208
"2011","Fawdon","E05001097","Total",4474,17,517,1495,2091,287,67
"2011","Fenham","E05001098","Total",4441,7,255,1704,2067,272,136
"2011","Kenton","E05001099","Total",4880,16,495,1260,2553,444,112
"2011","Lemington","E05001100","Total",4490,10,388,1569,2149,318,56
"2011","Newburn","E05001101","Total",4270,11,305,1476,1939,461,78
"2011","North Heaton","E05001102","Total",3795,10,133,957,1975,472,248
"2011","North Jesmond","E05001103","Total",3668,11,383,1042,650,563,1019
"2011","Ouseburn","E05001104","Total",4194,6,845,1872,820,313,338
"2011","Parklands","E05001105","Total",4086,5,125,976,1552,972,456
"2011","South Heaton","E05001106","Total",4350,14,648,1713,1226,345,404
"2011","South Jesmond","E05001107","Total",4086,10,674,1531,771,426,674
"2011","Walker","E05001108","Total",5382,17,893,2114,2181,128,49
"2011","Walkergate","E05001109","Total",4353,12,425,1807,1823,240,46
"2011","Westerhope","E05001110","Total",4103,9,195,1289,1970,534,106
"2011","Westgate","E05001111","Total",4869,28,1749,1865,791,149,287
"2011","West Gosforth","E05001112","Total",4099,9,205,1066,1098,1009,712
"2011","Wingrove","E05001113","Total",4645,23,828,1323,1480,539,452
"2011","Woolsington","E05001114","Total",4734,11,373,1205,2682,341,122
"2011","Battle Hill","E05001115","Total",4758,11,350,1482,2526,338,51
"2011","Benton","E05001116","Total",4676,4,415,1639,1875,558,185
"2011","Camperdown","E05001117","Total",4620,3,568,1561,2062,365,61
"2011","Chirton","E05001118","Total",5405,11,492,2202,2353,267,80
"2011","Collingwood","E05001119","Total",4885,10,403,1254,2523,559,136
"2011","Cullercoats","E05001120","Total",4255,5,297,1311,1964,474,204
"2011","Howdon","E05001121","Total",5029,7,515,1898,2357,212,40
"2011","Killingworth","E05001122","Total",4187,11,437,1157,1680,804,98
"2011","Longbenton","E05001123","Total",5061,6,329,1770,2514,372,70
"2011","Monkseaton North","E05001124","Total",3741,1,164,699,1679,934,264
"2011","Monkseaton South","E05001125","Total",4313,6,274,1258,2167,443,165
"2011","Northumberland","E05001126","Total",3582,6,296,1291,1609,319,61
"2011","Preston","E05001127","Total",3892,8,270,1326,1613,489,186
"2011","Riverside","E05001128","Total",5839,8,1295,2316,1883,263,74
"2011","St Mary's","E05001129","Total",3587,2,86,721,1395,1093,290
"2011","Tynemouth","E05001130","Total",5276,9,825,1733,1754,690,265
"2011","Valley","E05001131","Total",4714,7,392,1522,2160,550,83
"2011","Wallsend","E05001132","Total",5217,12,745,2224,1769,386,81
"2011","Weetslade","E05001133","Total",4259,5,341,1651,1809,377,76
"2011","Whitley Bay","E05001134","Total",3999,18,468,910,1494,724,385
"2011","Beacon and Bents","E05001135","Total",4316,12,677,1711,1473,272,171
"2011","Bede","E05001136","Total",3410,11,257,1266,1708,138,30
"2011","Biddick and All Saints","E05001137","Total",3968,8,371,1747,1717,90,35
"2011","Boldon Colliery","E05001138","Total",4119,4,401,1272,1947,418,77
"2011","Cleadon and East Boldon","E05001139","Total",3621,6,172,790,1559,843,251
"2011","Cleadon Park","E05001140","Total",3059,4,432,562,1830,200,31
"2011","Fellgate and Hedworth","E05001141","Total",3419,5,299,727,2139,203,46
"2011","Harton","E05001142","Total",3720,7,265,989,2099,284,76
"2011","Hebburn North","E05001143","Total",3945,5,222,1707,1664,292,55
"2011","Hebburn South","E05001144","Total",3476,4,339,1095,1752,251,35
"2011","Horsley Hill","E05001145","Total",4035,5,297,1344,2084,258,47
"2011","Monkton","E05001146","Total",3683,6,327,1057,1937,279,77
"2011","Primrose","E05001147","Total",3594,10,552,881,1886,226,39
"2011","Simonside and Rekendyke","E05001148","Total",4379,6,968,1771,1383,210,41
"2011","Westoe","E05001149","Total",3638,4,403,1308,1405,391,127
"2011","West Park","E05001150","Total",3765,6,349,1734,1350,240,86
